cluster,,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi
4,0.5,16.0,131.0,151.0,306.0,2393.0,479.0,3683.0,278.0,-31.6,846.0,37.5,146.0,1158.0,14.0,8.7,-4.8,489.0,21.4,181.0,149.0,60.0,43.9,26.2,1.3666666666666665,13.733333333333334,4.4,-8.933333333333334,13.833333333333334,26.599999999999998,16.6,1.7333333333333334,7.599999999999999,20.133333333333333,10.466666666666667,-3.6333333333333333,295.0,292.0,303.0,269.0
4,0.75,16.7,133.0,175.0,342.0,2493.0,528.0,3815.0,280.0,-30.7,862.0,37.9,151.0,1202.0,14.2,9.1,-4.2,512.0,21.8,187.0,172.0,62.0,45.849999999999994,26.5,1.8999999999999997,14.233333333333334,4.966666666666667,-8.233333333333333,14.333333333333334,27.0,17.0,2.1,8.066666666666666,20.566666666666666,10.9,-3.1,307.0,305.0,315.0,287.0
4,1.0,19.2,141.0,208.0,467.0,2778.0,697.0,4221.0,289.0,-28.4,917.0,39.4,166.0,1381.0,15.4,10.1,-2.7,613.0,23.1,202.0,269.0,70.0,49.8,28.3,3.0,15.533333333333333,7.166666666666667,-6.466666666666666,15.4,28.5,18.099999999999998,3.2999999999999994,9.133333333333335,21.900000000000002,12.0,-1.6666666666666667,368.0,363.0,395.0,320.0
5,0.0,11.2,131.0,0.0,74.0,1613.0,588.0,4000.0,263.0,-37.7,586.0,32.9,116.0,923.0,11.1,4.7,-10.1,424.0,17.4,145.0,153.0,55.0,28.9,24.9,-2.6,9.6,1.1666666666666667,-14.566666666666668,9.433333333333332,21.733333333333334,11.700000000000001,-3.466666666666667,3.6999999999999997,16.2,6.7,-8.733333333333334,207.0,254.0,237.0,150.0
5,0.25,13.8,139.0,76.0,137.0,1869.0,692.0,4261.0,269.0,-35.3,716.0,35.3,128.0,1044.0,13.6,5.9,-8.2,493.0,18.9,158.0,207.0,59.0,35.8,26.0,-1.2333333333333336,11.066666666666668,2.3666666666666667,-12.333333333333334,10.933333333333332,24.133333333333336,13.6,-1.8,4.866666666666667,17.7,8.033333333333333,-7.033333333333332,253.0,302.0,276.0,203.0
5,0.5,14.7,140.0,99.0,154.0,1938.0,739.0,4366.0,270.0,-34.4,736.0,35.7,130.0,1112.0,14.1,6.4,-7.4,514.0,19.2,162.0,242.0,60.0,37.2,26.6,-0.7999999999999998,11.5,2.733333333333333,-11.433333333333332,11.366666666666667,24.46666666666667,14.066666666666668,-1.0666666666666667,5.316666666666666,18.0,8.466666666666667,-6.233333333333333,272.0,316.0,291.0,225.0
5,0.75,15.5,141.0,115.0,170.0,1992.0,815.0,4516.0,272.0,-33.9,756.0,36.0,133.0,1192.0,14.5,6.7,-7.0,535.0,19.5,165.0,269.0,61.0,39.1,27.5,-0.4666666666666668,11.866666666666667,3.033333333333333,-11.033333333333333,11.9,24.833333333333332,14.524999999999999,-0.5666666666666665,5.7,18.266666666666666,8.733333333333333,-5.8,294.0,328.0,308.0,269.0
5,1.0,18.0,147.0,182.0,227.0,2154.0,1011.0,4909.0,282.0,-31.1,844.0,37.1,151.0,1478.0,16.3,7.5,-5.8,625.0,20.4,185.0,393.0,73.0,45.3,29.6,0.9333333333333332,13.800000000000002,5.133333333333333,-8.666666666666666,13.033333333333333,25.76666666666667,15.633333333333333,0.3666666666666667,6.433333333333333,19.13333333333333,9.666666666666666,-4.7,367.0,381.0,430.0,399.0
6,0.0,14.7,129.0,81.0,127.0,1802.0,631.0,4118.0,266.0,-37.8,667.0,35.1,123.0,760.0,11.9,5.2,-11.5,386.0,18.8,152.0,138.0,55.0,38.0,25.2,-1.9666666666666666,10.933333333333332,1.5333333333333339,-14.933333333333332,10.200000000000001,23.766666666666666,12.1,-4.566666666666666,4.333333333333333,17.566666666666666,7.333333333333333,-9.733333333333333,173.0,243.0,204.0,128.0
6,0.25,16.5,134.0,132.0,202.0,2018.0,816.0,4348.0,272.0,-36.3,706.0,36.8,135.0,860.0,13.4,6.1,-9.4,425.0,20.2,166.0,174.0,61.0,44.2,29.0,-0.7333333333333337,12.566666666666668,2.9333333333333336,-13.4,11.166666666666666,25.066666666666663,13.533333333333331,-2.6333333333333333,5.233333333333333,18.8,8.266666666666667,-8.0,195.0,268.0,233.0,159.0
6,0.5,17.9,135.0,149.0,226.0,2088.0,855.0,4422.0,274.0,-35.9,713.0,37.1,138.0,914.0,13.9,6.4,-9.0,442.0,20.6,170.0,196.0,62.0,46.2,29.6,-0.2333333333333334,13.066666666666668,3.266666666666666,-13.033333333333331,11.466666666666667,25.366666666666664,13.766666666666667,-2.1999999999999997,5.633333333333333,19.166666666666668,8.5,-7.6000000000000005,208.0,276.0,251.0,173.0
6,0.75,19.3,137.0,166.0,241.0,2128.0,893.0,4497.0,275.0,-35.4,723.0,37.2,140.0,976.0,14.3,6.6,-8.6,459.0,20.8,172.0,228.0,62.0,48.9,30.1,0.033333333333333215,13.266666666666666,3.4666666666666663,-12.633333333333333,11.733333333333334,25.53333333333333,14.0,-1.9333333333333333,5.866666666666667,19.366666666666667,8.700000000000001,-7.233333333333333,220.0,287.0,265.0,201.0
6,1.0,22.1,143.0,230.0,293.0,2281.0,1085.0,4812.0,281.0,-32.7,811.0,38.1,152.0,1085.0,15.1,7.4,-6.1,517.0,21.4,183.0,297.0,65.0,54.2,31.7,0.8666666666666666,14.566666666666668,4.866666666666667,-9.966666666666667,13.066666666666668,26.666666666666668,15.833333333333334,0.06666666666666665,6.433333333333334,20.066666666666666,9.666666666666668,-5.166666666666666,269.0,329.0,312.0,250.0
7,0.0,8.8,143.0,0.0,27.0,1138.0,1014.0,4962.0,252.0,-43.1,529.0,32.0,92.0,975.0,11.9,0.8,-15.3,462.0,15.2,118.0,286.0,52.0,25.6,25.9,-7.533333333333332,6.733333333333333,-1.7999999999999998,-20.266666666666666,5.633333333333333,20.233333333333334,8.566666666666666,-7.8,-0.9666666666666665,14.033333333333333,3.766666666666666,-14.066666666666668,211.0,278.0,256.0,187.0
7,0.25,11.5,148.0,28.0,64.0,1445.0,1244.0,5323.0,259.0,-40.2,613.0,34.4,109.0,1068.0,13.2,2.9,-12.8,508.0,17.3,134.0,357.0,57.0,32.0,29.6,-4.466666666666666,9.566666666666666,-0.06666666666666643,-17.066666666666666,7.8,22.233333333333334,10.333333333333334,-5.633333333333333,1.7333333333333334,15.966666666666667,5.166666666666668,-11.299999999999999,233.0,317.0,285.0,217.0
7,0.5,12.1,149.0,42.0,72.0,1491.0,1304.0,5444.0,261.0,-39.8,623.0,34.7,111.0,1101.0,13.4,3.2,-12.5,529.0,17.6,137.0,374.0,59.0,33.6,30.1,-4.1000000000000005,9.9,0.19999999999999987,-16.7,8.1,22.53333333333333,10.666666666666666,-5.3,1.9666666666666668,16.266666666666666,5.433333333333334,-11.033333333333331,241.0,335.0,293.0,232.0
7,0.75,12.6,151.0,57.0,82.0,1547.0,1342.0,5527.0,262.0,-39.2,634.0,35.0,115.0,1138.0,13.6,3.5,-12.1,545.0,17.9,143.0,401.0,60.0,34.8,30.4,-3.466666666666667,10.266666666666666,0.5333333333333335,-16.133333333333333,8.5,22.866666666666664,11.033333333333333,-4.833333333333333,2.4333333333333336,16.566666666666666,5.766666666666667,-10.6,255.0,345.0,305.0,241.0
7,1.0,13.9,161.0,110.0,115.0,1687.0,1742.0,6270.0,267.0,-37.5,716.0,36.0,124.0,1389.0,15.2,4.6,-9.8,656.0,18.8,155.0,587.0,66.0,37.7,31.9,-2.1,11.366666666666667,1.4666666666666668,-14.299999999999999,10.299999999999999,24.099999999999998,12.633333333333335,-2.6999999999999997,3.733333333333334,17.333333333333332,6.7,-8.633333333333333,344.0,427.0,378.0,318.0
8,0.0,10.8,134.0,35.0,63.0,1464.0,486.0,4046.0,264.0,-36.5,556.0,32.3,115.0,1073.0,12.6,4.1,-9.2,403.0,16.9,141.0,182.0,61.0,31.7,22.0,-2.866666666666667,10.0,1.5,-13.299999999999999,6.666666666666667,20.833333333333332,10.933333333333335,-3.1666666666666665,2.233333333333333,15.6,6.233333333333333,-8.066666666666666,240.0,229.0,277.0,262.0
8,0.25,12.5,140.0,68.0,95.0,1680.0,681.0,4453.0,272.0,-33.8,606.0,33.8,129.0,1132.0,13.2,5.5,-7.4,432.0,18.0,163.0,309.0,65.0,38.8,24.6,-1.4000000000000001,10.966666666666667,3.266666666666667,-10.966666666666667,7.900000000000001,22.03333333333333,12.299999999999999,-1.8,3.1333333333333333,16.633333333333333,7.933333333333334,-6.3,262.0,257.0,305.0,310.0
8,0.5,13.2,142.0,79.0,107.0,1718.0,729.0,4551.0,274.0,-33.1,621.0,34.1,132.0,1198.0,13.4,5.7,-6.8,452.0,18.3,168.0,331.0,66.0,40.7,25.1,-1.1666666666666667,11.233333333333334,3.6333333333333333,-10.366666666666665,8.533333333333333,22.399999999999995,12.766666666666666,-1.3,3.6333333333333333,16.933333333333334,8.266666666666666,-5.8,276.0,269.0,318.0,332.0
8,0.75,13.9,144.0,92.0,117.0,1748.0,781.0,4645.0,275.0,-32.3,641.0,34.3,135.0,1258.0,13.6,6.0,-6.2,467.0,18.6,172.0,360.0,67.0,42.8,25.6,-0.8333333333333336,11.699999999999998,4.033333333333333,-9.666666666666666,9.0,22.766666666666666,13.133333333333333,-0.7000000000000001,4.066666666666666,17.133333333333333,8.5,-5.3,292.0,280.0,333.0,353.0
8,1.0,15.1,151.0,158.0,197.0,2051.0,987.0,5101.0,284.0,-29.4,724.0,35.8,150.0,1456.0,14.6,7.3,-4.2,533.0,20.0,189.0,497.0,72.0,46.0,27.4,1.0999999999999999,13.433333333333332,5.8,-7.2,11.1,24.76666666666667,14.666666666666666,0.9666666666666668,5.866666666666667,18.7,9.766666666666667,-3.4,362.0,313.0,422.0,410.0
9,0.0,9.1,137.0,0.0,37.0,1288.0,644.0,4083.0,256.0,-39.6,572.0,31.7,100.0,1091.0,10.8,2.9,-11.9,466.0,15.9,126.0,250.0,52.0,25.4,24.9,-4.833333333333334,7.7,-0.8333333333333331,-16.3,6.900000000000001,20.2,10.200000000000001,-4.966666666666667,1.5666666666666664,14.733333333333334,5.033333333333334,-10.533333333333333,245.0,286.0,273.0,169.0
9,0.25,11.0,144.0,35.0,78.0,1596.0,907.0,4737.0,263.0,-37.9,683.0,34.3,115.0,1211.0,13.3,4.4,-10.0,535.0,17.6,144.0,341.0,57.0,30.4,27.1,-3.0,9.7,0.7666666666666666,-14.633333333333333,9.566666666666666,22.933333333333334,12.266666666666667,-3.0666666666666664,3.3666666666666667,16.333333333333336,6.566666666666666,-8.866666666666665,290.0,327.0,319.0,267.0
9,0.5,11.7,146.0,54.0,93.0,1672.0,973.0,4872.0,264.0,-37.2,706.0,34.9,119.0,1264.0,13.6,4.8,-9.5,560.0,18.0,149.0,373.0,58.0,32.1,27.5,-2.433333333333333,10.166666666666666,1.1666666666666667,-14.066666666666668,10.166666666666666,23.5,12.799999999999999,-2.6,3.8000000000000003,16.766666666666666,6.966666666666668,-8.333333333333334,306.0,340.0,338.0,281.0
9,0.75,12.4,148.0,73.0,110.0,1750.0,1038.0,5014.0,267.0,-36.5,724.0,35.3,122.0,1338.0,13.9,5.2,-9.0,590.0,18.4,153.0,409.0,60.0,33.8,27.8,-1.9333333333333336,10.633333333333335,1.6666666666666667,-13.366666666666667,10.6,23.900000000000002,13.200000000000001,-2.1999999999999997,4.233333333333333,17.166666666666668,7.3999999999999995,-7.833333333333333,323.0,357.0,359.0,303.0
9,1.0,14.0,157.0,129.0,223.0,2144.0,1269.0,5528.0,274.0,-33.9,841.0,37.2,136.0,1597.0,16.6,7.3,-6.7,711.0,20.3,171.0,560.0,67.0,40.0,29.5,0.0,12.4,3.5,-10.933333333333332,13.0,25.96666666666667,15.633333333333335,0.26666666666666666,6.5,19.099999999999998,9.166666666666668,-5.433333333333334,413.0,457.0,457.0,395.0
10,0.0,17.7,122.0,93.0,266.0,2263.0,403.0,3443.0,275.0,-33.0,730.0,36.0,143.0,771.0,12.0,7.9,-6.7,373.0,20.8,174.0,63.0,57.0,42.8,25.5,0.7666666666666669,13.066666666666668,4.0,-10.366666666666667,11.566666666666665,25.266666666666666,15.166666666666666,-0.4333333333333333,6.566666666666667,19.566666666666666,10.0,-5.166666666666667,183.0,221.0,212.0,123.0
10,0.25,19.9,127.0,181.0,314.0,2397.0,472.0,3642.0,281.0,-30.6,784.0,37.0,151.0,832.0,13.2,8.5,-5.1,400.0,21.5,187.0,88.0,63.0,48.9,26.2,1.5,14.033333333333331,5.166666666666667,-8.533333333333333,12.666666666666666,26.133333333333336,15.766666666666666,0.39999999999999997,7.166666666666667,20.2,10.633333333333333,-4.0,199.0,241.0,232.0,158.0
10,0.5,21.0,128.0,196.0,328.0,2434.0,492.0,3690.0,283.0,-30.0,794.0,37.3,155.0,884.0,13.6,8.7,-4.8,420.0,21.6,191.0,97.0,65.0,51.4,26.3,1.8,14.366666666666665,5.699999999999999,-8.0,12.799999999999999,26.333333333333332,16.000000000000004,0.5666666666666667,7.3,20.366666666666667,10.766666666666667,-3.7000000000000006,209.0,255.0,242.0,172.0
10,0.75,22.5,129.0,212.0,339.0,2465.0,515.0,3735.0,284.0,-29.6,812.0,37.5,157.0,930.0,13.9,8.8,-4.6,440.0,21.8,193.0,112.0,66.0,54.1,26.6,2.0,14.600000000000001,5.966666666666668,-7.566666666666666,13.0,26.53333333333333,16.2,0.7999999999999999,7.466666666666666,20.5,11.0,-3.466666666666667,219.0,269.0,257.0,190.0
10,1.0,24.2,133.0,267.0,396.0,2613.0,611.0,3922.0,291.0,-27.9,911.0,39.0,169.0,1068.0,14.7,9.5,-3.8,502.0,22.4,205.0,151.0,70.0,58.4,28.4,2.9666666666666663,15.766666666666666,7.466666666666666,-6.333333333333333,15.433333333333335,28.133333333333336,17.633333333333333,2.3666666666666667,8.633333333333333,21.166666666666668,11.866666666666667,-2.6333333333333333,278.0,299.0,333.0,229.0
11,0.0,12.0,136.0,28.0,66.0,1445.0,696.0,4377.0,262.0,-39.0,522.0,33.0,114.0,979.0,12.3,3.6,-11.6,419.0,17.4,140.0,231.0,57.0,35.7,25.3,-3.6,10.033333333333333,0.4666666666666665,-16.033333333333335,5.8999999999999995,20.566666666666666,10.066666666666666,-5.266666666666667,1.7333333333333332,15.833333333333334,6.0,-10.1,225.0,243.0,252.0,198.0
11,0.25,13.0,143.0,94.0,107.0,1643.0,897.0,4753.0,266.0,-37.3,630.0,35.1,120.0,1086.0,13.0,4.4,-10.4,438.0,18.6,148.0,358.0,61.0,41.2,27.7,-2.5666666666666664,10.966666666666667,1.6666666666666667,-14.299999999999999,8.333333333333334,23.166666666666668,11.533333333333333,-3.8333333333333335,2.8666666666666667,17.099999999999998,6.666666666666667,-9.0,250.0,269.0,281.0,274.0
11,0.5,13.3,145.0,105.0,115.0,1694.0,988.0,4909.0,268.0,-36.6,646.0,35.4,123.0,1109.0,13.1,4.8,-9.8,443.0,18.7,152.0,385.0,62.0,42.2,28.6,-2.1666666666666674,11.133333333333335,2.1,-13.5,8.700000000000001,23.46666666666667,12.0,-3.1999999999999997,3.233333333333334,17.266666666666666,7.0,-8.4,256.0,272.0,287.0,290.0
11,0.75,13.6,146.0,111.0,124.0,1736.0,1054.0,5042.0,269.0,-35.9,655.0,35.6,126.0,1140.0,13.2,5.2,-8.9,451.0,18.9,156.0,399.0,64.0,43.2,29.2,-1.7666666666666666,11.4,2.5,-12.833333333333334,9.1,23.666666666666668,12.433333333333335,-2.3666666666666667,3.6666666666666665,17.466666666666665,7.433333333333334,-7.633333333333333,265.0,276.0,292.0,316.0
11,1.0,15.4,148.0,136.0,168.0,1913.0,1171.0,5297.0,275.0,-33.5,711.0,36.3,139.0,1199.0,13.9,6.3,-6.9,505.0,19.5,174.0,431.0,69.0,45.0,30.2,-0.4000000000000001,13.033333333333333,3.733333333333333,-10.766666666666666,10.733333333333333,24.366666666666664,13.566666666666668,-0.6333333333333334,4.9,18.233333333333334,8.533333333333333,-5.8,284.0,315.0,321.0,338.0
