cluster,,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi,cluster8,cluster9
4,0.75,12.2,145.0,45.0,86.0,1663.0,667.0,4569.0,279.0,-29.5,596.0,33.0,140.0,1414.0,13.8,6.2,-4.2,504.0,17.6,181.0,370.0,72.0,36.2,23.2,-0.03333333333333351,11.133333333333333,4.966666666666666,-7.266666666666666,8.299999999999999,21.400000000000002,13.033333333333333,0.49999999999999994,4.033333333333333,16.233333333333334,9.0,-3.4333333333333336,330.0,303.0,379.0,409.0,2.0,4.0
4,1.0,13.4,155.0,88.0,121.0,1831.0,925.0,5357.0,290.0,-26.0,649.0,34.2,160.0,1527.0,14.6,6.8,-1.6,542.0,18.5,207.0,578.0,80.0,40.4,25.6,1.3666666666666665,12.166666666666666,7.066666666666666,-4.0,10.0,22.766666666666666,13.800000000000002,2.4,5.033333333333334,17.166666666666668,9.966666666666667,-0.8000000000000002,366.0,324.0,409.0,443.0,7.0,4.0
5,0.0,8.8,140.0,0.0,27.0,1151.0,1009.0,4959.0,253.0,-42.8,526.0,32.0,92.0,866.0,11.8,1.0,-14.9,419.0,15.2,118.0,256.0,52.0,25.6,25.9,-7.199999999999999,6.733333333333333,-1.7666666666666668,-19.866666666666664,5.633333333333333,20.233333333333334,8.566666666666666,-7.633333333333333,-0.6000000000000002,14.033333333333333,3.766666666666666,-13.666666666666666,190.0,256.0,233.0,168.0,0.0,5.0
5,0.25,11.9,148.0,45.0,63.0,1426.0,1254.0,5342.0,259.0,-40.3,600.0,34.4,109.0,986.0,13.2,2.8,-13.1,466.0,17.3,134.0,331.0,57.0,34.3,30.0,-4.366666666666667,9.633333333333335,-0.03333333333333351,-17.266666666666666,7.466666666666666,22.166666666666668,10.033333333333333,-5.933333333333334,1.6000000000000003,15.933333333333332,5.0666666666666655,-11.533333333333331,216.0,290.0,269.0,204.0,0.0,5.0
5,0.5,12.6,149.0,66.0,76.0,1505.0,1318.0,5450.0,261.0,-39.9,621.0,34.8,111.0,1032.0,13.3,3.2,-12.7,481.0,17.7,137.0,364.0,59.0,36.4,30.3,-4.1000000000000005,9.966666666666667,0.19999999999999987,-16.866666666666667,8.066666666666668,22.666666666666668,10.6,-5.3999999999999995,2.0,16.366666666666667,5.433333333333333,-11.166666666666666,228.0,300.0,279.0,220.0,0.0,5.0
5,0.75,13.5,151.0,89.0,86.0,1551.0,1365.0,5567.0,262.0,-39.3,636.0,35.3,114.0,1099.0,13.5,3.5,-12.2,515.0,18.0,141.0,399.0,61.0,38.5,30.8,-3.6,10.299999999999999,0.5333333333333332,-16.233333333333334,8.533333333333333,23.133333333333336,11.033333333333333,-4.933333333333334,2.3333333333333335,16.666666666666668,5.766666666666666,-10.666666666666666,244.0,322.0,292.0,241.0,0.0,5.0
5,1.0,16.1,161.0,148.0,139.0,1756.0,1684.0,6170.0,270.0,-36.8,716.0,36.3,130.0,1364.0,15.2,4.6,-9.8,656.0,19.3,160.0,587.0,67.0,44.0,32.4,-1.866666666666667,12.0,2.233333333333333,-13.866666666666665,10.299999999999999,24.233333333333334,12.633333333333335,-2.6666666666666665,3.733333333333334,17.8,6.733333333333334,-8.566666666666668,344.0,427.0,378.0,318.0,6.0,5.0
6,0.0,11.8,133.0,8.0,66.0,1445.0,697.0,4311.0,260.0,-39.6,522.0,33.0,109.0,880.0,11.9,3.6,-12.3,419.0,17.4,134.0,184.0,53.0,30.8,25.3,-3.866666666666667,8.933333333333334,0.06666666666666672,-16.733333333333334,5.8999999999999995,20.566666666666666,10.033333333333333,-5.733333333333333,1.7333333333333332,15.833333333333334,5.866666666666666,-10.666666666666666,190.0,245.0,231.0,163.0,0.0,6.0
6,0.25,13.2,142.0,80.0,113.0,1688.0,954.0,4773.0,265.0,-38.0,644.0,35.4,120.0,1052.0,13.0,4.5,-10.9,446.0,18.6,149.0,303.0,58.0,38.7,28.6,-2.533333333333333,10.9,1.3333333333333333,-15.0,8.766666666666666,23.46666666666667,11.766666666666666,-3.9,3.2999999999999994,17.233333333333334,6.699999999999999,-9.366666666666667,232.0,273.0,279.0,225.0,3.0,6.0
6,0.5,13.7,144.0,104.0,125.0,1742.0,1017.0,4883.0,267.0,-37.6,665.0,35.7,122.0,1086.0,13.1,4.9,-10.2,470.0,18.9,152.0,330.0,61.0,40.5,29.2,-2.1666666666666665,11.133333333333335,1.7333333333333334,-14.5,9.633333333333335,23.833333333333332,12.299999999999999,-3.233333333333333,3.733333333333333,17.5,7.0,-8.833333333333334,250.0,284.0,287.0,249.0,3.0,6.0
